Date2,Month,Year,LocationName,CurrentDepartmentType,Status,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2016-03-01,Mar,2016,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,147,8,139,94.6,5.4,5.4,3,3,2,0,2,2,1.4,0,37.5,37.5,25,0,139,8
2016-04-01,Apr,2016,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,150,12,138,92,8,8,6,5,1,0,4,3.3,0.7,0,50,41.7,8.3,0,138,12
2016-05-01,May,2016,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,128,8,120,93.8,6.2,6.2,5,1,1,1,3.9,0.8,0.8,0.8,62.5,12.5,12.5,0.8,120,8
2016-06-01,Jun,2016,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,147,6,141,95.9,4.1,4.1,2,4,0,0,1.4,2.7,0,0,33.3,66.7,0,0,141,6
2016-07-01,Jul,2016,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,61,2,59,96.7,3.3,3.3,1,1,0,0,1.6,1.6,0,0,50,50,0,0,59,2
2016-08-01,Aug,2016,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,210,17,193,91.9,8.1,8.1,9,7,1,0,4.3,3.3,0.5,0,52.9,41.2,5.9,0,193,17
2016-09-01,Sep,2016,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,165,11,154,93.3,6.7,6.7,5,6,0,0,3,3.6,0,0,45.5,54.5,0,0,154,11
2016-10-01,Oct,2016,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,136,8,128,94.1,5.9,5.9,5,3,0,0,3.7,2.2,0,0,62.5,37.5,0,0,128,8
2016-11-01,Nov,2016,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,194,12,182,93.8,6.2,6.2,4,7,1,0,2.1,3.6,0.5,0,33.3,58.3,8.3,0,182,12
2016-12-01,Dec,2016,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,153,14,139,90.8,9.2,9.2,11,2,1,0,7.2,1.3,0.7,0,78.6,14.3,7.1,0,139,14
2017-01-01,Jan,2017,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,162,13,149,92,8,8,7,6,0,0,4.3,3.7,0,0,53.8,46.2,0,0,149,13
2017-02-01,Feb,2017,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,135,6,129,95.6,4.4,4.4,3,3,0,0,2.2,2.2,0,0,50,50,0,0,129,6
2017-03-01,Mar,2017,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,147,6,141,95.9,4.1,4.1,4,2,0,0,2.7,1.4,0,0,66.7,33.3,0,0,141,6
2017-04-01,Apr,2017,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,112,10,102,91.1,8.9,8.9,5,4,1,0,4.5,3.6,0.9,0,50,40,10,0,102,10
2017-05-01,May,2017,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,144,11,133,92.4,7.6,7.6,9,0,2,0,6.2,0,1.4,0,81.8,0,18.2,0,133,11
2017-06-01,Jun,2017,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,174,13,161,92.5,7.5,7.5,8,3,2,0,4.6,1.7,1.1,0,61.5,23.1,15.4,0,161,13
2017-07-01,Jul,2017,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,148,15,133,89.9,10.1,10.1,10,2,3,0,6.8,1.4,2,0,66.7,13.3,20,0,133,15
2017-08-01,Aug,2017,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,111,4,107,96.4,3.6,3.6,2,2,0,0,1.8,1.8,0,0,50,50,0,0,107,4
2017-09-01,Sep,2017,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,138,10,128,92.8,7.2,7.2,4,6,0,0,2.9,4.3,0,0,40,60,0,0,128,10
2017-10-01,Oct,2017,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,155,8,147,94.8,5.2,5.2,4,4,0,0,2.6,2.6,0,0,50,50,0,0,147,8
2017-11-01,Nov,2017,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,137,5,132,96.4,3.6,3.6,4,1,0,0,2.9,0.7,0,0,80,20,0,0,132,5
2017-12-01,Dec,2017,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,167,11,156,93.4,6.6,6.6,5,5,1,0,3,3,0.6,0,45.5,45.5,9.1,0,156,11
2018-01-01,Jan,2018,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,169,7,162,95.9,4.1,4.1,7,0,0,0,4.1,0,0,0,100,0,0,0,162,7
2018-02-01,Feb,2018,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,101,4,97,96,4,4,2,2,0,0,2,2,0,0,50,50,0,0,97,4
2018-03-01,Mar,2018,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,152,25,127,83.6,16.4,16.4,8,4,13,0,5.3,2.6,8.6,0,32,16,52,0,127,25
2018-04-01,Apr,2018,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,160,9,151,94.4,5.6,5.6,1,1,7,0,0.6,0.6,4.4,0,11.1,11.1,77.8,0,151,9
2018-05-01,May,2018,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,129,8,121,93.8,6.2,6.2,6,2,0,0,4.7,1.6,0,0,75,25,0,0,121,8
2018-06-01,Jun,2018,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,117,6,111,94.9,5.1,5.1,3,3,0,0,2.6,2.6,0,0,50,50,0,0,111,6
2018-07-01,Jul,2018,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,97,7,90,92.8,7.2,7.2,5,1,1,0,5.2,1,1,0,71.4,14.3,14.3,0,90,7
2018-08-01,Aug,2018,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,124,7,117,94.4,5.6,5.6,5,2,0,0,4,1.6,0,0,71.4,28.6,0,0,117,7
2018-09-01,Sep,2018,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,160,5,155,96.9,3.1,3.1,4,1,0,0,2.5,0.6,0,0,80,20,0,0,155,5
2018-10-01,Oct,2018,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,186,9,177,95.2,4.8,4.8,5,4,0,0,2.7,2.2,0,0,55.6,44.4,0,0,177,9
2018-11-01,Nov,2018,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,168,6,162,96.4,3.6,3.6,1,3,2,0,0.6,1.8,1.2,0,16.7,50,33.3,0,162,6
2018-12-01,Dec,2018,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,131,10,121,92.4,7.6,7.6,7,3,0,0,5.3,2.3,0,0,70,30,0,0,121,10
2019-01-01,Jan,2019,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,158,16,142,89.9,10.1,10.1,7,8,1,0,4.4,5.1,0.6,0,43.8,50,6.2,0,142,16
2019-02-01,Feb,2019,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,156,14,142,91,9,9,5,9,0,0,3.2,5.8,0,0,35.7,64.3,0,0,142,14
2019-03-01,Mar,2019,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,145,11,134,92.4,7.6,7.6,7,4,0,0,4.8,2.8,0,0,63.6,36.4,0,0,134,11
2019-04-01,Apr,2019,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,110,4,106,96.4,3.6,3.6,2,2,0,0,1.8,1.8,0,0,50,50,0,0,106,4
2019-05-01,May,2019,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,136,13,123,90.4,9.6,9.6,9,4,0,0,6.6,2.9,0,0,69.2,30.8,0,0,123,13
2019-06-01,Jun,2019,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,141,6,135,95.7,4.3,4.3,3,2,1,0,2.1,1.4,0.7,0,50,33.3,16.7,0,135,6
2019-07-01,Jul,2019,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,82,8,74,90.2,9.8,9.8,7,1,0,0,8.5,1.2,0,0,87.5,12.5,0,0,74,8
2019-08-01,Aug,2019,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,145,6,139,95.9,4.1,4.1,5,1,0,0,3.4,0.7,0,0,83.3,16.7,0,0,139,6
2019-09-01,Sep,2019,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,154,12,142,92.2,7.8,7.8,8,4,0,0,5.2,2.6,0,0,66.7,33.3,0,0,142,12
2019-10-01,Oct,2019,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,179,7,172,96.1,3.9,3.9,5,2,0,0,2.8,1.1,0,0,71.4,28.6,0,0,172,7
2019-11-01,Nov,2019,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,104,5,99,95.2,4.8,4.8,5,0,0,0,4.8,0,0,0,100,0,0,0,99,5
2019-12-01,Dec,2019,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,117,4,113,96.6,3.4,3.4,2,1,1,0,1.7,0.9,0.9,0,50,25,25,0,113,4
2020-01-01,Jan,2020,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,173,14,159,91.9,8.1,8.1,8,6,0,0,4.6,3.5,0,0,57.1,42.9,0,0,159,14
2020-02-01,Feb,2020,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,158,3,155,98.1,1.9,1.9,0,3,0,0,0,1.9,0,0,0,100,0,0,155,3
2020-03-01,Mar,2020,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,109,18,91,83.5,16.5,16.5,8,10,0,0,7.3,9.2,0,0,44.4,55.6,0,0,91,18
2020-04-01,Apr,2020,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2020-05-01,May,2020,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2020-06-01,Jun,2020,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2020-07-01,Jul,2020,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2020-08-01,Aug,2020,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2020-09-01,Sep,2020,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2020-10-01,Oct,2020,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2020-11-01,Nov,2020,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2020-12-01,Dec,2020,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2021-01-01,Jan,2021,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2021-02-01,Feb,2021,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2021-04-01,Apr,2021,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,130,4,126,96.9,3.1,3.1,1,3,0,0,0.8,2.3,0,0,25,75,0,0,126,4
2021-05-01,May,2021,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,104,5,99,95.2,4.8,4.8,2,3,0,0,1.9,2.9,0,0,40,60,0,0,99,5
2021-03-01,Mar,2021,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,102,6,96,94.1,5.9,5.9,2,3,1,0,2,2.9,1,0,33.3,50,16.7,0,96,6
