"Date2","Month","Year","TreatmentLocationName","CurrentDepartmentType","Status","HBName","TotalOperations","TotalCancelled","Performed","CancelledByPatientReason","ClinicalReason","NonClinicalCapacityReason","OtherReason","Cancelled_By_Patient_pc_of_planned_ops","Cancelled_clinical_reason_pc_of_planned_ops","Non_clinical_capacity_reason_pc_of_planned_ops","Other_Reason_pc_of_planned_ops","Cancelled_By_Patient_pc_of_cancelled_ops","Cancelled_clinical_reason_pc_of_cancelled_ops","Non_clinical_capacity_reason_pc_of_cancelled_ops","Other_Reason_pc_of_cancelled_ops","AddressLine","CAName","Postcode","lat","lon","filename"
2022-04-01,"Apr","2022","Queen Elizabeth University Hospital","Emergency Department ","Open","NHS Greater Glasgow and Clyde",504,43,461,7,14,22,0,1.38888888888889,2.77777777777778,4.36507936507936,0,16.2790697674419,32.5581395348837,51.1627906976744,0,"1345 Govan Road, Glasgow","Glasgow City","G51 4TF",55.8626461052733,-4.33811836022652,"QueenElizabethUniversityHospital"
2022-04-01,"Apr","2022","Royal Hospital For Children Glasgow","Emergency Department ","Open","NHS Greater Glasgow and Clyde",378,52,326,8,9,35,0,2.11640211640212,2.38095238095238,9.25925925925926,0,15.3846153846154,17.3076923076923,67.3076923076923,0,"1345 Govan Road, Glasgow","Glasgow City","G51 4TF",55.8614444415721,-4.33986800422316,"RoyalHospitalForChildrenGlasgow"
2022-04-01,"Apr","2022","Lorn & Islands Hospital","Emergency Department ","Open","NHS Highland",44,6,38,2,2,2,0,4.54545454545455,4.54545454545455,4.54545454545455,0,33.3333333333333,33.3333333333333,33.3333333333333,0,"Glengallan Road, Oban","Argyll and Bute","PA34 4HH",56.4004184693658,-5.47493861281497,"Lorn&IslandsHospital"
2022-04-01,"Apr","2022","Caithness General Hospital","Emergency Department ","Open","NHS Highland",58,11,47,4,6,1,0,6.89655172413793,10.3448275862069,1.72413793103448,0,36.3636363636364,54.5454545454545,9.09090909090909,0,"Cliff Road, Wick","Highland","KW1 5NS",58.44136111454,-3.09573874444064,"CaithnessGeneralHospital"
2022-04-01,"Apr","2022","Raigmore Hospital","Emergency Department ","Open","NHS Highland",505,100,405,16,25,59,0,3.16831683168317,4.95049504950495,11.6831683168317,0,16,25,59,0,"Inverness","Highland","IV2 3UJ",57.4738232157775,-4.1924715056756,"RaigmoreHospital"
2022-04-01,"Apr","2022","Belford Hospital","Emergency Department ","Open","NHS Highland",71,7,64,2,5,0,0,2.8169014084507,7.04225352112676,0,0,28.5714285714286,71.4285714285714,0,0,"Belford Road, Fort William","Highland","PH33 6BS",56.8194265315056,-5.10471488607709,"BelfordHospital"
2022-04-01,"Apr","2022","University Hospital Monklands","Emergency Department ","Open","NHS Lanarkshire",650,103,547,79,20,3,1,12.1538461538462,3.07692307692308,0.461538461538462,0.153846153846154,76.6990291262136,19.4174757281553,2.9126213592233,0.153846153846154,"Monkscourt Avenue, Airdrie","North Lanarkshire","ML6 0JS",55.865882082868,-3.9995980505906,"UniversityHospitalMonklands"
2022-04-01,"Apr","2022","University Hospital Hairmyres","Emergency Department ","Open","NHS Lanarkshire",571,65,506,29,19,16,1,5.07880910683012,3.32749562171629,2.80210157618214,0.175131348511384,44.6153846153846,29.2307692307692,24.6153846153846,0.175131348511384,"Eaglesham Road, East Kilbride","South Lanarkshire","G75 8RG",55.7599328804914,-4.22199921257863,"UniversityHospitalHairmyres"
2022-04-01,"Apr","2022","University Hospital Hairmyres","Emergency Department ","Open","NHS Lanarkshire",571,65,506,29,19,16,1,5.07880910683012,3.32749562171629,2.80210157618214,0.175131348511384,44.6153846153846,29.2307692307692,24.6153846153846,0.175131348511384,"Eaglesham Road, East Kilbride","South Lanarkshire","G75 8RG",55.7599328804914,-4.22199921257863,"UniversityHospitalHairmyres"
2022-04-01,"Apr","2022","University Hospital Wishaw","Emergency Department ","Open","NHS Lanarkshire",219,13,206,4,3,3,3,1.82648401826484,1.36986301369863,1.36986301369863,1.36986301369863,30.7692307692308,23.0769230769231,23.0769230769231,1.36986301369863,"50 Netherton Street, Wishaw","North Lanarkshire","ML2 0DP",55.7736959980452,-3.94174863001567,"UniversityHospitalWishaw"
2022-04-01,"Apr","2022","Western General Hospital","Minor Injury Unit or Other ","Open","NHS Lothian",918,125,793,51,18,34,22,5.55555555555556,1.96078431372549,3.7037037037037,2.39651416122004,40.8,14.4,27.2,2.39651416122004,"Crewe Road South, Edinburgh","City of Edinburgh","EH4 2XU",55.9618073950955,-3.23490712532891,"WesternGeneralHospital"
2022-04-01,"Apr","2022","St John's Hospital","Emergency Department ","Open","NHS Lothian",641,61,580,31,19,9,2,4.83619344773791,2.96411856474259,1.40405616224649,0.31201248049922,50.8196721311475,31.1475409836066,14.7540983606557,0.31201248049922,"Howden West, Livingston, West Lothian","West Lothian","EH54 6PP",55.892967355638,-3.51938964782545,"StJohn'sHospital"
2022-04-01,"Apr","2022","Royal Infirmary Of Edinburgh","Emergency Department ","Open","NHS Lothian",831,74,757,8,31,35,0,0.962695547533093,3.73044524669073,4.21179302045728,0,10.8108108108108,41.8918918918919,47.2972972972973,0,"51 Little France Crescent, Old Dalkeith Road, Edinburgh","City of Edinburgh","EH16 4SA",55.9099788500865,-3.1581504026103,"RoyalInfirmaryOfEdinburgh"
2022-04-01,"Apr","2022","Balfour Hospital","Emergency Department ","Open","NHS Orkney",308,19,289,10,4,5,0,3.24675324675325,1.2987012987013,1.62337662337662,0,52.6315789473684,21.0526315789474,26.3157894736842,0,"Foreland Road, Kirkwall, Orkney","Orkney Islands","KW15 1NZ",58.9737018570582,-2.96544487143093,"BalfourHospital"
2022-04-01,"Apr","2022","Gilbert Bain Hospital","Emergency Department ","Open","NHS Shetland",153,7,146,5,1,0,1,3.26797385620915,0.65359477124183,0,0.65359477124183,71.4285714285714,14.2857142857143,0,0.65359477124183,"Lerwick, Shetland","Shetland Islands","ZE1 0TB",60.1510582755813,-1.15566423821628,"GilbertBainHospital"
2022-04-01,"Apr","2022","Ninewells Hospital","Emergency Department ","Open","NHS Tayside",741,38,703,10,18,5,5,1.34952766531714,2.42914979757085,0.67476383265857,0.67476383265857,26.3157894736842,47.3684210526316,13.1578947368421,0.67476383265857,"Dundee","Dundee City","DD1 9SY",56.4616849016583,-2.99140973719529,"NinewellsHospital"
2022-04-01,"Apr","2022","Ninewells Hospital","Emergency Department ","Open","NHS Tayside",741,38,703,10,18,5,5,1.34952766531714,2.42914979757085,0.67476383265857,0.67476383265857,26.3157894736842,47.3684210526316,13.1578947368421,0.67476383265857,"Dundee","Dundee City","DD1 9SY",56.4616849016583,-2.99140973719529,"NinewellsHospital"
2022-04-01,"Apr","2022","Perth Royal Infirmary","Emergency Department ","Open","NHS Tayside",355,14,341,1,9,4,0,0.28169014084507,2.53521126760563,1.12676056338028,0,7.14285714285714,64.2857142857143,28.5714285714286,0,"Taymount Terrace, Perth","Perth and Kinross","PH1 1NX",56.3963406584739,-3.45296526996898,"PerthRoyalInfirmary"
2022-04-01,"Apr","2022","Western Isles Hospital","Emergency Department ","Open","NHS Western Isles",53,6,47,0,2,4,0,0,3.77358490566038,7.54716981132075,0,0,33.3333333333333,66.6666666666667,0,"Macaulay Road, Stornoway, Isle of Lewis","Na h-Eileanan Siar","HS1 2AF",58.2211158543704,-6.38359673253254,"WesternIslesHospital"
